seed,name,n,p,p_rec,dom,mesh
900036,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s719222618g0
900037,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s609316899g0
900037,proc_on_host,1,0.0,0.0,9:shove-cap,s609316899g0
900038,car_best_host,3,1.0,0.0,5:shove-fight,s1698373068g0
900038,proc_on_host,1,1.0,0.0,5:shove-fight,s1698373068g0
900039,car_best_host,3,0.6666666666666666,0.3333333333333333,5:shove-fight,s202265828g0
900039,proc_on_host,1,0.0,0.0,9:shove-cap,s202265828g0
900040,car_best_host,1,1.0,0.0,2:cathled-sprint-success,s1050921583g0
900040,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s1050921583g0
900041,car_best_host,3,1.0,0.3333333333333333,2:cathled-sprint-success,s432477991g0
900041,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s432477991g0
900042,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s928082491g0
900042,proc_on_host,1,0.0,0.0,10:proximal-thrash,s928082491g0
900043,car_best_host,3,1.0,0.0,5:shove-fight,s1898654069g0
900043,proc_on_host,1,1.0,1.0,3:light-recovery-success,s1898654069g0
900044,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s846931706g0
900044,proc_on_host,1,1.0,0.0,5:shove-fight,s846931706g0
900045,car_best_host,3,1.0,0.0,5:shove-fight,s1009872855g0
900045,proc_on_host,1,0.0,0.0,9:shove-cap,s1009872855g0
900046,car_best_host,3,1.0,0.0,5:shove-fight,s791572010g0
900046,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s791572010g0
900047,car_best_host,3,1.0,1.0,3:light-recovery-success,s195812797g0
900047,proc_on_host,1,0.0,0.0,9:shove-cap,s195812797g0
900048,car_best_host,3,0.6666666666666666,0.3333333333333333,5:shove-fight,s1268534349g0
900048,proc_on_host,1,0.0,0.0,10:proximal-thrash,s1268534349g0
900049,car_best_host,3,1.0,0.0,5:shove-fight,s710276575g0
900049,proc_on_host,1,1.0,0.0,5:shove-fight,s710276575g0
900050,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s221841882g0
900050,proc_on_host,1,0.0,0.0,5:shove-fight,s221841882g0
900051,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s1703362320g0
900051,proc_on_host,1,0.0,0.0,9:shove-cap,s1703362320g0
900052,car_best_host,1,1.0,0.0,2:cathled-sprint-success,s436059836g0
900052,proc_on_host,1,1.0,0.0,5:shove-fight,s436059836g0
900053,car_best_host,3,0.6666666666666666,0.3333333333333333,5:shove-fight,s666874983g0
900053,proc_on_host,1,0.0,0.0,9:shove-cap,s666874983g0
900054,car_best_host,3,1.0,0.0,5:shove-fight,s514338283g0
900054,proc_on_host,1,1.0,0.0,5:shove-fight,s514338283g0
900055,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s905047548g0
900055,proc_on_host,1,1.0,0.0,5:shove-fight,s905047548g0
900056,car_best_host,3,1.0,0.0,5:shove-fight,s940613720g0
900056,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s940613720g0
900057,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s800887222g0
900057,proc_on_host,1,1.0,0.0,5:shove-fight,s800887222g0
900058,car_best_host,3,1.0,0.0,2:cathled-sprint-success,s289926302g0
900058,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s289926302g0
900059,car_best_host,3,1.0,0.0,0:clean-success,s507949858g0
900059,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s507949858g0
900060,car_best_host,3,1.0,0.0,2:cathled-sprint-success,s6654449g0
900060,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s6654449g0
900061,car_best_host,3,0.6666666666666666,0.0,5:shove-fight,s1357272110g0
900061,proc_on_host,1,1.0,0.0,5:shove-fight,s1357272110g0
900062,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s950258454g0
900062,proc_on_host,1,0.0,0.0,10:proximal-thrash,s950258454g0
900063,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s2032161815g0
900063,proc_on_host,1,0.0,0.0,5:shove-fight,s2032161815g0
900064,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s1795658739g0
900064,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s1795658739g0
900065,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s542976952g0
900065,proc_on_host,1,0.0,0.0,9:shove-cap,s542976952g0
