seed,car_best_host,proc_on_host,succ_phase,fail_phase,rec_share,cathled_share,medT,mesh,cls,min_strong,spread_strong
900029,1.0,0.0,fight-escaped-near,cath-led-run,1.0,0.0,218.0,s779366404g0,strength,1.0,0.0
900030,1.0,0.0,fight-escaped-near,cath-led-run,1.0,0.0,269.5,s487386244g0,strength,1.0,0.0
900031,1.0,0.0,fight-escaped-near,stuck-midpath,1.0,0.0,186.5,s47544376g0,strength,1.0,0.0
900033,1.0,0.0,fight-escaped-near,stuck-midpath,1.0,0.0,202.5,s820931024g0,strength,1.0,0.0
900037,1.0,0.0,fight-escaped-near,stuck-midpath,1.0,0.0,223.0,s609316899g0,strength,1.0,0.0
900042,1.0,0.0,fight-escaped-near,cath-led-run,1.0,0.0,214.0,s928082491g0,strength,1.0,0.0
900045,1.0,0.0,fight-escaped-near,stuck-midpath,1.0,0.0,322.0,s1009872855g0,strength,1.0,0.0
900047,1.0,0.0,fight-escaped-near,stuck-midpath,1.0,0.0,187.0,s195812797g0,strength,1.0,0.0
900050,1.0,0.0,deep-recovery,light-recovery,1.0,0.0,173.0,s221841882g0,strength,1.0,0.0
900051,1.0,0.0,fight-escaped-near,stuck-midpath,1.0,0.0,190.0,s1703362320g0,strength,1.0,0.0
900062,1.0,0.0,fight-escaped-near,cath-led-run,1.0,0.0,322.0,s950258454g0,strength,1.0,0.0
900063,1.0,0.0,deep-recovery,shove-capped,1.0,0.0,346.5,s2032161815g0,strength,1.0,0.0
900065,1.0,0.0,fight-escaped-near,stuck-midpath,1.0,0.0,234.5,s542976952g0,strength,1.0,0.0
900071,1.0,0.0,deep-recovery,deep-recovery,1.0,0.0,157.5,s381803629g0,strength,1.0,0.0
900072,1.0,0.0,deep-recovery,stuck-midpath,1.0,0.0,184.0,s441416739g0,strength,1.0,0.0
900079,1.0,0.0,light-recovery,stuck-midpath,1.0,0.0,145.0,s1678765422g0,strength,1.0,0.0
900080,1.0,0.0,light-recovery,stuck-midpath,1.0,0.0,164.0,s1574836522g0,strength,1.0,0.0
900082,1.0,0.0,fight-escaped-near,shove-capped,0.6666666666666666,0.0,371.0,s1195408531g0,strength,1.0,0.0
900083,1.0,0.0,light-recovery,deep-recovery,1.0,0.0,184.0,s164799107g0,strength,1.0,0.0
900085,1.0,0.0,deep-recovery,stuck-midpath,1.0,0.0,155.0,s1272475282g0,strength,1.0,0.0
900086,1.0,0.0,fight-escaped-near,cath-led-run,1.0,0.0,278.5,s2035662364g0,strength,1.0,0.0
900087,1.0,0.0,fight-escaped-near,light-recovery,1.0,0.0,309.0,s1020378381g0,strength,1.0,0.0
900091,1.0,0.0,light-recovery,stuck-midpath,0.6666666666666666,0.3333333333333333,169.5,s875903860g0,strength,1.0,0.0
900092,1.0,0.0,deep-recovery,stuck-midpath,1.0,0.0,188.5,s639028767g0,strength,1.0,0.0
900093,1.0,0.0,fight-escaped-near,stuck-midpath,1.0,0.0,223.5,s1916065718g0,strength,1.0,0.0
900096,1.0,0.0,light-recovery,cath-led-run,1.0,0.0,211.5,s310660349g0,strength,1.0,0.0
900097,1.0,0.0,fight-escaped-near,shove-capped,1.0,0.0,259.5,s1408628064g0,strength,1.0,0.0
