name,rep,seed,mesh,T,phase,cname,p_end,p_max,t_pmax,idle_since,push_frac,withdrawn,tip_retreat_max,n_events,n_unrec,lead_end,cath_slack_max,slack_max,loop,file
car_best_host,1,900035,s1887051287g0,601,stuck-midpath,5:shove-fight,0.219,0.834,345,16,0.958,721.685,200.776,3,1,41.104,8.694,0.433,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_234829\s900035_s1887051287g0_pid288_ep4.npz
proc_on_host,1,900035,s1887051287g0,601,cath-led-run,10:proximal-thrash,0.156,0.178,268,5,0.02,9.108,3.024,0,0,20.545,6.28,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900035_s1887051287g0_pid288_ep2.npz
proc_on_host,1,900037,s609316899g0,601,stuck-midpath,9:shove-cap,0.478,0.486,76,469,0.597,131.241,26.997,1,1,25.899,7.92,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900037_s609316899g0_pid288_ep0.npz
car_best_host,3,900039,s202265828g0,601,doorstep-stall,5:shove-fight,0.511,0.94,311,13,0.94,741.405,102.76,5,1,-20.88,8.488,1.268,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_233257\s900039_s202265828g0_pid329_ep4.npz
proc_on_host,1,900039,s202265828g0,601,stuck-midpath,9:shove-cap,0.524,0.529,48,42,0.572,141.031,30.994,1,1,26.119,7.619,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900039_s202265828g0_pid329_ep4.npz
proc_on_host,1,900042,s928082491g0,601,cath-led-run,10:proximal-thrash,0.275,0.429,49,546,0.314,60.65,38.999,0,0,5.285,7.971,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900042_s928082491g0_pid329_ep1.npz
proc_on_host,1,900045,s1009872855g0,601,stuck-midpath,9:shove-cap,0.544,0.562,107,464,0.687,156.729,35.033,1,1,42.792,8.104,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900045_s1009872855g0_pid370_ep4.npz
proc_on_host,1,900047,s195812797g0,601,stuck-midpath,9:shove-cap,0.424,0.614,52,148,0.449,138.535,42.015,1,1,-13.657,7.86,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900047_s195812797g0_pid370_ep2.npz
car_best_host,1,900048,s1268534349g0,601,stuck-midpath,5:shove-fight,0.215,0.8,182,84,0.947,490.123,207.903,3,1,53.396,10.445,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_234829\s900048_s1268534349g0_pid369_ep2.npz
proc_on_host,1,900048,s1268534349g0,601,cath-led-run,10:proximal-thrash,0.351,0.351,600,17,0.131,4.374,3.025,0,0,10.386,10.701,9.782,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900048_s1268534349g0_pid370_ep1.npz
proc_on_host,1,900050,s221841882g0,601,light-recovery,5:shove-fight,0.702,0.748,483,25,0.592,146.94,11.991,2,0,3.599,8.386,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900050_s221841882g0_pid411_ep5.npz
proc_on_host,1,900051,s1703362320g0,601,stuck-midpath,9:shove-cap,0.626,0.645,188,341,0.782,237.22,51.019,1,1,46.49,8.161,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900051_s1703362320g0_pid411_ep4.npz
car_best_host,1,900053,s666874983g0,601,fight-escaped-near,5:shove-fight,0.954,0.954,600,1,0.982,856.836,65.832,4,0,-114.477,11.64,0.533,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_234829\s900053_s666874983g0_pid410_ep3.npz
proc_on_host,1,900053,s666874983g0,601,stuck-midpath,9:shove-cap,0.581,0.596,42,54,0.506,132.721,35.011,1,1,24.434,8.318,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900053_s666874983g0_pid411_ep2.npz
car_best_host,2,900061,s1357272110g0,601,shove-capped,9:shove-cap,0.95,0.966,35,1,0.99,811.393,92.15,1,1,54.617,10.194,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_000417\s900061_s1357272110g0_pid451_ep0.npz
proc_on_host,1,900062,s950258454g0,601,cath-led-run,10:proximal-thrash,0.164,0.192,307,106,0.023,12.95,3.024,0,0,20.719,6.191,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900062_s950258454g0_pid493_ep5.npz
proc_on_host,1,900063,s2032161815g0,601,shove-capped,5:shove-fight,0.342,0.685,45,5,0.785,253.168,71.148,1,1,65.45,83.961,13.174,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900063_s2032161815g0_pid493_ep4.npz
