png,tag,pid,ep,old_cluster,new_cluster,n_match,success,steps,new_name
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-01_163054_rcca_topbrain_repl/diagnostics/snapshots/explore/RCCA\success\ep001_pid5429_step109_R+6.04_success.png,tb_repl,5429,1,6,0,1,True,109,0:clean-success
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\max_steps\ep020_pid13173_step600_R-2.39_max_steps.png,car_v3,13173,20,7,7,1,False,600,7:midpath-thrash
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-08_220413_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\max_steps\ep016_pid4636_step600_R-6.80_max_steps.png,car_v3a,4636,16,7,7,1,False,600,7:midpath-thrash
D:/neve/.claude/worktrees/rl_improv_16_resume/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-25_000146_rcca_procedural_v3c3/diagnostics/snapshots/explore/RCCA\max_steps\ep002_pid661_step600_R-2.02_max_steps.png,v3c3,661,2,7,7,1,False,600,7:midpath-thrash
D:/neve/.claude/worktrees/rl_improv_16_resume/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_194618_rcca_procedural_v3c2/diagnostics/snapshots/explore/RCCA\max_steps\ep041_pid20302_step600_R-9.09_max_steps.png,v3c2,20302,41,7,7,1,False,600,7:midpath-thrash
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-01_163054_rcca_topbrain_repl/diagnostics/snapshots/explore/RCCA\max_steps\ep012_pid502_step600_R-2.01_max_steps.png,tb_repl,502,12,7,7,1,False,600,7:midpath-thrash
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/diagnostics/snapshots/explore/RCCA\success\ep004_pid5615_step58_R+5.45_success.png,car_nopriv,5615,4,7,1,1,True,58,1:clean-fast-success
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-08_220413_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\max_steps\ep001_pid5262_step600_R-2.80_max_steps.png,car_v3a,5262,1,8,10,1,False,600,10:proximal-thrash
D:/neve/.claude/worktrees/rl_improv_16_resume/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-25_000146_rcca_procedural_v3c3/diagnostics/snapshots/explore/RCCA\max_steps\ep007_pid3091_step600_R-1.90_max_steps.png,v3c3,3091,7,8,8,1,False,600,8:mega-coil
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\max_steps\ep002_pid2663_step600_R-4.49_max_steps.png,car_v3,2663,2,8,7,1,False,600,7:midpath-thrash
D:/neve/.claude/worktrees/rl_improv_16_resume/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_194618_rcca_procedural_v3c2/diagnostics/snapshots/explore/RCCA\max_steps\ep006_pid2026_step600_R-3.70_max_steps.png,v3c2,2026,6,8,8,1,False,600,8:mega-coil
D:/neve/.claude/worktrees/rl_improv_16_resume/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_194618_rcca_procedural_v3c2/diagnostics/snapshots/explore/RCCA\max_steps\ep004_pid4668_step600_R-3.90_max_steps.png,v3c2,4668,4,8,8,1,False,600,8:mega-coil
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\max_steps\ep013_pid1813_step600_R-25.99_max_steps.png,car_v3,1813,13,8,8,1,False,600,8:mega-coil
