tag,win,n,ex_succ,next_succ,prev_succ,med_steps,rec_share,rec_share_of_succ,coil,shove,thrash,near,far,fail_coil,fail_thrash,fail_shove,fail_near
tb_v1r2,5,2077.0,97.20751083293212,100.0,95.78947368421052,91.0,4.333172845450169,4.457652303120357,0.33702455464612424,0.19258545979778527,0.0,3.8998555609051513,0.0,10.344827586206897,0.0,1.7241379310344827,87.93103448275862
tb_v1r2,6,2191.0,97.99178457325422,98.93617021276596,100.0,87.0,6.891830214513921,6.939916162086633,0.22820629849383844,3.468735737106344,0.0,2.738475581926061,0.0,9.090909090909092,0.0,4.545454545454546,81.81818181818183
tb_v1r2,7,2357.0,99.06661009758167,100.0,98.93617021276596,86.0,6.957997454391175,7.02355460385439,0.0848536274925753,0.0,0.0,1.6970725498515062,0.0,9.090909090909092,0.0,0.0,90.9090909090909
tb_v1r2,8,2368.0,97.88851351351352,97.9381443298969,100.0,86.0,6.545608108108109,6.686798964624677,0.33783783783783783,0.3800675675675676,0.0,2.1114864864864864,0.0,12.0,0.0,14.000000000000002,74.0
tb_v1r2,9,2461.0,98.61844778545307,98.9795918367347,97.9381443298969,86.0,5.201137748882568,5.274000824062629,0.3657049979683055,0.12190166598943519,0.04063388866314506,1.3815522145469321,0.0,23.52941176470588,2.941176470588235,5.88235294117647,67.64705882352942
tb_v1r2,10,2590.0,98.996138996139,100.0,98.9795918367347,84.0,4.787644787644788,4.83619344773791,0.2702702702702703,0.15444015444015444,0.0,1.196911196911197,0.0,26.923076923076923,0.0,3.8461538461538463,69.23076923076923
tb_v1r2,11,2582.0,98.33462432223082,100.0,100.0,83.0,4.686289697908598,4.726270185112249,0.2711076684740511,0.19364833462432224,0.0,1.5104570100697134,0.0,13.953488372093023,0.0,11.627906976744185,72.09302325581395
tb_v1r2,12,2082.0,97.74255523535062,98.96907216494846,100.0,95.0,13.064361191162345,13.267813267813267,0.24015369836695488,0.19212295869356388,0.1440922190201729,2.2094140249759846,0.0,10.638297872340425,0.0,6.382978723404255,78.72340425531915
tb_v1r2,13,2378.0,98.4861227922624,100.0,98.96907216494846,86.5,8.536585365853659,8.582408198121264,0.04205214465937763,0.16820857863751051,0.04205214465937763,1.6400336417157275,0.0,2.7777777777777777,2.7777777777777777,8.333333333333332,80.55555555555556
tb_v1r2,14,2585.0,98.76208897485493,96.90721649484536,100.0,82.0,4.448742746615087,4.504504504504505,0.19342359767891684,0.03868471953578336,0.0,1.276595744680851,0.0,15.625,0.0,3.125,81.25
tb_v1r2,15,2682.0,98.17300521998509,98.9795918367347,96.90721649484536,78.0,3.9149888143176734,3.987846562856058,0.22371364653243847,0.0,0.0,2.0507084265473527,0.0,10.204081632653061,0.0,0.0,89.79591836734694
tb_v1r2,16,2367.0,98.31009716941276,100.0,98.9795918367347,90.0,9.04098014364174,8.981521272024064,0.16899028305872413,0.25348542458808615,0.25348542458808615,1.309674693705112,0.0,10.0,15.0,2.5,60.0
tb_v1r2,17,2556.0,99.33489827856025,100.0,100.0,87.0,6.298904538341158,6.341079165025601,0.1564945226917058,0.0782472613458529,0.0,0.6259780907668232,0.0,23.52941176470588,0.0,11.76470588235294,64.70588235294117
