utc,update_step,explore_step,alpha,entropy_proxy,clamp_fraction,log_pi_std,log_pi_mean,q1_mean,q1_loss,policy_loss,grad_norm_policy,awac_weight_mean,awac_weight_max,awac_weight_saturation,target_q_mean,log_alpha,kl_to_warmstart,alpha_kl
07-12 06:54:30,185000,387837,4.539993096841499e-05,1.3831515312194824,0.044921875,2.5347399711608887,-1.3831515312194824,-2.5026650428771973,0.0068610440939664,1.5588210821151731,1.343972933850852,1.003819227218628,1.4058846235275269,0.0,-2.499698638916016,-10.0,,
07-12 07:01:06,190000,397450,4.539993096841499e-05,1.3835535049438477,0.0322265625,2.28519606590271,-1.3835535049438477,-2.361558437347412,0.0102182924747467,2.4491989612579346,2.130540603376282,1.001063585281372,1.381427526473999,0.0,-2.333185195922852,-10.0,,
07-12 07:07:29,195000,405841,4.539993096841499e-05,1.1089296340942385,0.05078125,2.934544324874878,-1.1089296340942385,-2.7720303535461426,0.0090949106961488,1.2573131322860718,1.0932112713296525,1.0013542175292969,1.2593549489974976,0.0,-2.77898383140564,-10.0,,
07-12 07:20:50,200000,428427,4.557688225759193e-05,0.8129287958145142,0.0498046875,2.8379783630371094,-0.8129287958145142,-2.851191520690918,0.0084703341126441,1.8538715839385984,1.6517580540198875,0.9940522909164428,1.2147974967956543,0.0,-2.840536117553711,-9.99610996246338,,
07-12 07:27:32,205000,437456,6.511611718451604e-05,0.7269047498703003,0.0576171875,4.109658241271973,-0.7269047498703003,-2.831117630004883,0.0092320637777447,1.750686764717102,1.5625888333890376,1.0038436651229858,1.3920235633850098,0.0,-2.8386483192443848,-9.639338493347168,,
07-12 07:34:20,210000,446702,0.0001765784109011,0.5870920419692993,0.068359375,3.431461811065674,-0.5870920419692993,-2.840144157409668,0.0098072104156017,1.7173616886138916,1.7851361946326805,0.999339759349823,1.4503700733184814,0.0,-2.881510019302368,-8.641745567321777,,
07-12 07:40:52,215000,459152,0.0006044273031875,1.0012550354003906,0.0546875,3.4381697177886963,-1.0012550354003906,-2.9235668182373047,0.011259127408266,2.585091590881348,2.328564951111156,0.999980330467224,1.34749174118042,0.0,-2.924558401107788,-7.411229133605957,,
07-12 07:45:51,220000,468200,0.0023212223313748,0.1387243866920471,0.083984375,4.554858684539795,-0.1387243866920471,-3.090226888656616,0.0046160817146301,0.8522757291793823,0.955008810616696,1.0009291172027588,1.3566888570785522,0.0,-3.097618818283081,-6.065661430358887,,
07-12 07:52:03,225000,471108,0.0088175106793642,0.4575498700141907,0.0703125,3.4535224437713623,-0.4575498700141907,-3.1013875007629395,0.0120398737490177,1.90533983707428,2.114964671454271,1.0051661729812622,1.3201215267181396,0.0,-3.094212532043457,-4.731015682220459,,
07-12 07:58:33,230000,481897,0.0350510142743587,0.4438566565513611,0.0595703125,3.3302481174468994,-0.4438566565513611,-3.047227144241333,0.0071574971079826,1.0042803287506104,1.221900497205621,0.9962160587310792,1.368592381477356,0.0,-3.061028480529785,-3.3509507179260254,,
