seq	wall	pid	ep	final_branch	reason	is_clean	gsucc	ret	steps
1210	1783846445.468801	2001	13	RCCA	success	1	1	4.3285	202
1211	1783846446.322012	1751	23	bridge	max_steps	0	0	-1.9891	600
1212	1783846454.854464	236	69	bridge	max_steps	0	0	-3.2421	600
1213	1783846472.278367	2108	4	RCCA	max_steps	1	0	-3.1761	600
1214	1783846477.416894	2151	4	RCCA	success	1	1	4.6057	350
1215	1783846488.483174	2319	5	RCCA	success	1	1	5.2049	132
1216	1783846523.073579	2361	5	bridge	max_steps	0	0	-4.0231	600
1217	1783846534.793289	2151	5	RCCA	success	1	1	4.7483	125
1218	1783846539.415739	2066	4	bridge	max_steps	0	0	-3.6795	600
1219	1783846540.225419	1751	24	RCCA	success	1	1	5.0056	183
1220	1783846561.237464	1218	49	RCCA	max_steps	1	0	-2.2484	600
1221	1783846608.071179	2066	5	RCCA	success	1	1	4.0034	136
1222	1783846625.517500	2108	5	RCCA	success	1	1	4.9676	313
1223	1783846663.439242	1793	23	bridge	max_steps	0	0	-2.5882	600
1224	1783846666.778085	2193	6	RCCA	max_steps	1	0	-2.4830	600
1225	1783846667.131716	2277	4	RVA	max_steps	0	0	-14.9102	600
1226	1783846682.350333	2151	6	RCCA	success	0	1	2.6685	296
1227	1783846715.911076	2193	7	RCCA	success	1	1	4.7979	99
1228	1783846721.344321	1427	37	bridge	max_steps	0	0	-3.0870	600
1229	1783846740.188726	616	66	RCCA	max_steps	1	0	-1.2037	600
1230	1783846760.210272	2001	14	RCCA	max_steps	1	0	-1.1790	600
1231	1783846787.709624	2361	6	bridge	max_steps	0	0	-3.6701	600
1232	1783846791.674932	236	70	RCCA	max_steps	1	0	-1.7347	600
1233	1783846796.568956	2151	7	RCCA	success	1	1	4.8824	213
1234	1783846799.802932	2319	6	RVA	max_steps	0	0	-12.1184	600
1235	1783846829.671100	1661	29	RCCA	max_steps	1	0	-0.7163	600
1236	1783846850.013796	2235	4	RCCA	max_steps	1	0	-2.3308	600
