seed,name,n,p,p_rec,dom,mesh
900043,car_best_host,3,1.0,0.0,5:shove-fight,s1898654069g0
900043,tbv2_best_host,3,0.3333333333333333,0.0,8:mega-coil,s1898654069g0
900043,tbv3_ref_host,1,0.0,0.0,8:mega-coil,s1898654069g0
900044,abl_best_host,1,1.0,0.0,1:clean-fast-success,s846931706g0
900044,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s846931706g0
900044,tbv2_best_host,3,1.0,0.0,1:clean-fast-success,s846931706g0
900044,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s846931706g0
900045,abl_best_host,1,1.0,0.0,1:clean-fast-success,s1009872855g0
900045,car_best_host,3,1.0,0.0,5:shove-fight,s1009872855g0
900045,tbv2_best_host,3,0.0,0.0,6:near-buckle-fight,s1009872855g0
900045,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s1009872855g0
900046,abl_best_host,1,1.0,0.0,1:clean-fast-success,s791572010g0
900046,car_best_host,3,1.0,0.0,5:shove-fight,s791572010g0
900046,tbv2_best_host,3,0.6666666666666666,0.0,6:near-buckle-fight,s791572010g0
900046,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s791572010g0
900047,abl_best_host,1,1.0,0.0,1:clean-fast-success,s195812797g0
900047,car_best_host,3,1.0,1.0,3:light-recovery-success,s195812797g0
900047,tbv2_best_host,3,0.0,0.0,6:near-buckle-fight,s195812797g0
900047,tbv3_ref_host,1,1.0,0.0,6:near-buckle-fight,s195812797g0
900048,abl_best_host,1,0.0,0.0,8:mega-coil,s1268534349g0
900048,car_best_host,3,0.6666666666666666,0.3333333333333333,5:shove-fight,s1268534349g0
900048,tbv2_best_host,3,0.6666666666666666,0.6666666666666666,3:light-recovery-success,s1268534349g0
900048,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s1268534349g0
900049,abl_best_host,1,1.0,0.0,1:clean-fast-success,s710276575g0
900049,car_best_host,3,1.0,0.0,5:shove-fight,s710276575g0
900049,tbv2_best_host,3,0.6666666666666666,0.3333333333333333,4:deep-recovery-success,s710276575g0
900049,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s710276575g0
900050,abl_best_host,1,1.0,0.0,1:clean-fast-success,s221841882g0
900050,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s221841882g0
900050,tbv2_best_host,3,0.6666666666666666,0.0,6:near-buckle-fight,s221841882g0
900050,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s221841882g0
900051,abl_best_host,1,1.0,0.0,1:clean-fast-success,s1703362320g0
900051,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s1703362320g0
900051,tbv2_best_host,3,0.3333333333333333,0.3333333333333333,6:near-buckle-fight,s1703362320g0
900051,tbv3_ref_host,1,1.0,1.0,3:light-recovery-success,s1703362320g0
900052,car_best_host,1,1.0,0.0,2:cathled-sprint-success,s436059836g0
900053,abl_best_host,1,1.0,0.0,1:clean-fast-success,s666874983g0
900053,car_best_host,3,0.6666666666666666,0.3333333333333333,5:shove-fight,s666874983g0
900053,tbv2_best_host,3,0.3333333333333333,0.0,6:near-buckle-fight,s666874983g0
900053,tbv3_ref_host,1,1.0,0.0,6:near-buckle-fight,s666874983g0
