seed,name,n,p,p_rec,dom,mesh
900050,car_best_on_proc,1,1.0,0.0,0:clean-success,s221841882g1
900050,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s221841882g1
900051,car_best_on_proc,1,0.0,0.0,5:shove-fight,s1703362320g1
900051,proc_on_proc,1,0.0,0.0,8:mega-coil,s1703362320g1
900052,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s436059836g1
900052,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s436059836g1
900053,car_best_on_proc,1,1.0,0.0,0:clean-success,s666874983g1
900053,proc_on_proc,1,1.0,1.0,4:deep-recovery-success,s666874983g1
900054,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s514338283g1
900054,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s514338283g1
900055,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s905047548g0
900055,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s905047548g0
900056,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s940613720g1
900056,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s940613720g1
900057,car_best_on_proc,1,1.0,0.0,0:clean-success,s800887222g1
900057,proc_on_proc,1,1.0,1.0,4:deep-recovery-success,s800887222g1
900058,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s289926302g1
900058,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s289926302g1
900059,car_best_on_proc,1,1.0,0.0,0:clean-success,s507949858g1
900059,proc_on_proc,1,1.0,1.0,4:deep-recovery-success,s507949858g1
900060,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s6654449g1
900060,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s6654449g1
900061,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1357272110g0
900061,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1357272110g0
900062,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s950258454g1
900062,proc_on_proc,1,0.0,0.0,8:mega-coil,s950258454g1
900063,car_best_on_proc,1,0.0,0.0,8:mega-coil,s2032161815g1
900063,proc_on_proc,1,0.0,0.0,8:mega-coil,s2032161815g1
900064,car_best_on_proc,1,1.0,0.0,0:clean-success,s1795658739g1
900064,proc_on_proc,1,0.0,0.0,7:midpath-thrash,s1795658739g1
900065,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s542976952g1
900065,proc_on_proc,1,0.0,0.0,8:mega-coil,s542976952g1
900066,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s767506430g1
900066,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s767506430g1
900067,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1701875257g0
900067,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1701875257g0
900068,car_best_on_proc,1,1.0,0.0,0:clean-success,s871533636g1
900068,proc_on_proc,1,1.0,0.0,8:mega-coil,s871533636g1
900069,car_best_on_proc,1,1.0,1.0,4:deep-recovery-success,s19148103g1
