name,rep,seed,mesh,T,phase,cname,p_end,p_max,t_pmax,idle_since,push_frac,withdrawn,tip_retreat_max,n_events,n_unrec,lead_end,cath_slack_max,slack_max,loop,file
proc_on_proc,1,900043,s1898654069g0,601,stuck-midpath,7:midpath-thrash,0.369,0.369,583,553,0.767,85.927,33.871,2,1,13.9,34.155,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900043_s1898654069g0_pid329_ep0.npz
proc_on_proc,1,900045,s1009872855g1,601,coiled-stuck,8:mega-coil,0.638,0.914,250,227,0.978,134.514,46.168,2,1,0.962,765.309,764.346,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900045_s1009872855g1_pid370_ep4.npz
car_best_on_proc,1,900046,s791572010g1,601,stuck-midpath,6:near-buckle-fight,0.855,0.892,50,398,0.759,129.031,7.777,1,1,-38.751,40.983,42.571,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900046_s791572010g1_pid370_ep3.npz
proc_on_proc,1,900046,s791572010g1,601,coiled-stuck,8:mega-coil,0.907,0.922,286,196,0.988,42.503,41.085,3,1,-0.554,737.271,737.451,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900046_s791572010g1_pid370_ep3.npz
car_best_on_proc,1,900047,s195812797g1,601,coiled-stuck,6:near-buckle-fight,0.786,0.786,57,344,0.874,223.951,79.786,1,1,-44.333,61.78,47.924,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900047_s195812797g1_pid370_ep2.npz
proc_on_proc,1,900047,s195812797g1,601,coiled-stuck,8:mega-coil,0.761,0.786,85,23,0.97,64.419,25.606,1,1,-0.611,749.939,750.201,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900047_s195812797g1_pid370_ep2.npz
car_best_on_proc,1,900048,s1268534349g1,601,stuck-proximal,10:proximal-thrash,0.126,0.156,19,45,0.784,121.275,33.897,1,1,25.117,36.929,12.797,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900048_s1268534349g1_pid370_ep1.npz
proc_on_proc,1,900048,s1268534349g1,601,fight-escaped-far,7:midpath-thrash,0.286,0.29,575,175,0.28,53.505,17.601,3,0,-20.946,9.152,19.856,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900048_s1268534349g1_pid370_ep1.npz
car_best_on_proc,1,900049,s710276575g0,601,coiled-stuck,8:mega-coil,0.93,0.93,106,553,0.93,3.747,37.069,1,1,0.63,742.786,742.758,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900049_s710276575g0_pid370_ep0.npz
proc_on_proc,1,900049,s710276575g0,601,coiled-stuck,8:mega-coil,0.708,0.93,254,54,0.967,48.272,40.043,1,1,-0.622,780.161,780.217,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900049_s710276575g0_pid370_ep0.npz
car_best_on_proc,1,900051,s1703362320g1,601,shove-capped,5:shove-fight,0.53,0.85,64,346,0.955,206.215,160.255,1,1,72.719,191.124,82.175,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900051_s1703362320g1_pid411_ep4.npz
proc_on_proc,1,900051,s1703362320g1,601,coiled-stuck,8:mega-coil,0.635,0.85,207,549,0.98,37.084,42.221,1,1,-0.402,780.054,780.173,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900051_s1703362320g1_pid411_ep4.npz
