name,rep,seed,mesh,T,phase,cname,p_end,p_max,t_pmax,idle_since,push_frac,withdrawn,tip_retreat_max,n_events,n_unrec,lead_end,cath_slack_max,slack_max,loop,file
car_early,1,55,casem030righttopcowmr003L,601,fight-escaped-near,3:light-recovery-success,0.843,0.876,589,12,0.82,129.889,39.877,4,0,-165.908,57.331,101.254,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint800346/traj_records/20260920_223638\s0055_casem030righttopcowmr003L_pid206_ep2.npz
car_peak,2,55,casem030righttopcowmr003L,601,doorstep-stall,6:near-buckle-fight,0.877,0.937,284,37,0.852,342.564,25.731,3,1,-64.36,12.374,25.364,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1791699/traj_records/20260920_213839\s0055_casem030righttopcowmr003L_pid206_ep2.npz
car_div,1,69,casew013righttopcowmr021L,601,fight-escaped-far,7:midpath-thrash,0.977,0.977,600,1,0.885,106.24,15.145,4,0,-65.272,8.47,4.987,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1336215/traj_records/20260920_225602\s0069_casew013righttopcowmr021L_pid658_ep1.npz
car_div,1,70,casew007lefttopcowmr017,601,stuck-proximal,10:proximal-thrash,0.18,0.189,511,229,0.973,35.371,16.15,3,1,14.03,2.659,7.215,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1336215/traj_records/20260920_225602\s0070_casew007lefttopcowmr017_pid576_ep2.npz
car_div,1,81,casew033lefttopcowmr011L,601,stuck-proximal,10:proximal-thrash,0.191,0.194,536,352,0.955,62.396,13.107,3,1,10.763,7.173,2.559,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1336215/traj_records/20260920_225602\s0081_casew033lefttopcowmr011L_pid576_ep1.npz
car_div,1,91,casem030righttopcowmr003L,601,fight-escaped-far,7:midpath-thrash,0.424,0.424,600,1,0.887,69.743,14.106,3,0,-39.032,8.506,3.42,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1336215/traj_records/20260920_225602\s0091_casem030righttopcowmr003L_pid371_ep1.npz
abl_last,1,93,casew007lefttopcowmr017,601,stuck-midpath,7:midpath-thrash,0.371,0.372,593,579,0.995,48.648,35.912,13,1,43.15,9.068,1.017,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/checkpoints/eval_anatomies_checkpoint2757954/traj_records/20260920_214821\s0093_casew007lefttopcowmr017_pid247_ep1.npz
abl_last,2,93,casew007lefttopcowmr017,601,fight-escaped-far,7:midpath-thrash,0.371,0.371,600,578,0.99,48.052,31.925,11,0,41.396,8.2,1.255,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/checkpoints/eval_anatomies_checkpoint2757954/traj_records/20260920_220406\s0093_casew007lefttopcowmr017_pid247_ep1.npz
car_1545,1,93,casew007lefttopcowmr017,601,coiled-stuck,6:near-buckle-fight,0.856,0.857,100,530,0.815,60.06,41.763,1,1,52.283,94.817,42.534,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1545187/traj_records/20260920_222443\s0093_casew007lefttopcowmr017_pid247_ep1.npz
car_div,1,93,casew007lefttopcowmr017,601,stuck-proximal,10:proximal-thrash,0.01,0.029,478,601,0.973,14.603,7.062,2,1,-2.515,0.096,1.293,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1336215/traj_records/20260920_225602\s0093_casew007lefttopcowmr017_pid248_ep1.npz
